stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
"1838503784","2021-01-30 06:00:08","Biden Is The First President To Openly Oppose The Death Penalty. He Can Help End It.","https://www.huffpost.com/entry/joe-biden-oppose-death-penalty-how-he-can-end-it_n_6014a4c0c5b6bde2f5bf83e0","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1839029132","2021-01-31 10:11:43","Joe Biden’s Administration Is Starting To Look Like A Mullet","https://www.huffpost.com/entry/joe-biden-administration-like-mullet-establishment-progressives_n_60162c18c5b622df90f40e57","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1839429374","2021-02-01 11:53:11","Stacey Abrams Has Been Nominated For A Nobel Peace Prize","https://www.huffpost.com/entry/stacey-abrams-nobel-peace-prize_n_60181f55c5b622df90f59355","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1839429371","2021-02-01 05:45:06","Republican State Legislatures Are Radicalizing Against Democracy","https://www.huffpost.com/entry/gop-state-legislatures-pennsylvania-trump_n_60146d71c5b6aa4bad33f207","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1840596509","2021-02-02 16:09:46","Gov. Newsom Gets First Major GOP Challenger As Recall Effort Gains Momentum","https://www.huffpost.com/entry/gavin-newsom-recall-kevin-faulconer-california_n_60199e86c5b6aa4bad37fd9b","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1841818409","2021-02-03 19:01:09","Biden EPA Pick Pledges To Take Swift Action On Climate, Fix Trump-Era Damage","https://www.huffpost.com/entry/michael-regan-epa-nominee-biden-confirmation-hearing_n_601b309ac5b62bf30753eb67","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1842941222","2021-02-04 18:27:38","A Former Trump Adviser May Have Revealed What The Fossil Fuel Bonanza Was Really About","https://www.huffpost.com/entry/trump-fossil-fuels_n_601c626fc5b68e068fbccba6","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1843373484","2021-02-05 05:18:47","Biden Set To Accept More Refugees After Years Of Trump Restrictions","https://www.huffpost.com/entry/biden-set-to-accept-more-refugees-after-years-of-trump-restrictions_n_601d1102c5b618b3198769a7","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1843390963","2021-02-05 05:45:05","Planting Trees Sounds Like A Simple Climate Fix. It’s Anything But.","https://www.huffpost.com/entry/planting-trees-not-simple-climate-fix_n_601c1627c5b6c0af54d17e98","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
"1844047954","2021-02-05 18:33:45","Biden Beats Back The Austerians At The Gates","https://www.huffpost.com/entry/biden-beats-back-the-austerians-at-the-gates_n_601dc729c5b6d78d444666ec","en","False","","27502","HuffPost","http://www.huffingtonpost.com/#"
